Event,Zone,Region,latitude,longitude
Criminal Act - Hilton Hotel Bombing,Sydney,Sydney,-33.348777,151.135727
Criminal Act - Savoy Hotel Arson,Sydney,Sydney,-33.837554,151.109554
Criminal Act - Whiskey Au Go-Go Nightclub Bombing,Brisbane,Brisbane,-27.440423,153.272463
Criminal Act - Myall Creek Massacre,Myall Creek,Myall Creek,-29.292432,150.209318
Cyclone Sigma,"Brisbane , Townsville","Brisbane , Townsville",-23.278496,149.927257
Cyclone - Darwin,Darwin,Darwin,-12.45321,130.838158
Cyclone - Gulf of Carpentaria,Mornington Island,Mornington Island,-16.505537,138.883541
Cyclone Mahina,Cooktown,Cooktown,-15.536532,145.195549
Cyclone Veronica,Port Hedland,Port Hedland,-20.218449,118.584975
Cyclone Marcus,Darwin,Darwin,-12.470079,130.839774
Cyclone Debbie,Airlie Beach,Airlie Beach,-19.936039,149.066548
Cyclone Marcia,Shoalwater Bay,Shoalwater Bay,-22.368656,150.225582
Cyclone Oswald,Cape York Peninsula,Cape York Peninsula,-13.534104,142.258198
Cyclone Yasi,"Ayr , Cairns , Townsville","Ayr , Cairns , Townsville",-18.586959,146.652665
Cyclone George,Port Hedland,Port Hedland,-20.431225,118.544798
Cyclone Larry,Cairns,Cairns,-16.987637,145.855657
Cyclone Tessi,Townsville,Townsville,-19.341045,146.958954
Cyclone Steve,Cairns,Cairns,-16.890787,145.718968
Cyclone Vance,"Dampier , Exmouth Gulf , Port Hedland","Dampier , Exmouth Gulf , Port Hedland",-21.088611,116.537335
Cyclone Justin,"Cairns , Townsville","Cairns , Townsville",-18.201991,146.212139
Cyclone Bobby,Dampier,Dampier,-20.802031,116.701293
Cyclone Rewa,Brisbane,Brisbane,-27.302276,152.983492
Cyclone Nancy,"Brisbane , Lismore (QLD)","Brisbane , Lismore (QLD)",-28.087412,153.138568
Cyclone Aivu,"Brisbane , Lismore (QLD) , Mackay , Rockhampton , Lismore (NSW)","Brisbane , Lismore (QLD) , Mackay , Rockhampton , Lismore (NSW)",-26.256918,152.075707
Cyclone Herbie,Dampier,Dampier,-20.684852,116.747869
Cyclone Winifred,Cairns,Cairns,-16.776411,145.544381
Cyclone Hazel,Carnarvon,Carnarvon,-24.728989,113.848111
Cyclone Alby,Perth,Perth,-32.022535,115.742871
Cyclone Joan,Port Hedland,Port Hedland,-20.276099,118.262068
Cyclone Tracy,Darwin,Darwin,-12.044989,131.25964
Cyclone Emily,"Bundaberg , Rockhampton","Bundaberg , Rockhampton",-23.960965,151.325194
Cyclone Althea,Townsville,Townsville,-19.247742,146.834941
Cyclone Ada,Mackay,Mackay,-21.115675,149.163786
Cyclone Audrey,Coburg Peninsula,Coburg Peninsula,-11.631458,132.479845
Cyclone Glenda,Brisbane,Brisbane,-27.321062,152.892826
Cyclone Agnes,Cairns,Cairns,-16.812407,145.696323
Cyclone - Mackay,Mackay,Mackay,-21.462678,148.646708
Cyclone - The Great Gold coast cyclone Southern Queensland and Northern New South Wales,"Brisbane , Lismore (QLD)","Brisbane , Lismore (QLD)",-28.078422,152.975059
Cyclone - TC119 Coastal Queensland and New South Wales,"Brisbane , Cairns , Sydney","Brisbane , Cairns , Sydney",-26.127178,150.11717
Cyclone - Rockhampton,"Bundaberg , Rockhampton","Bundaberg , Rockhampton",-24.122628,151.429045
Cyclone - Cape York and Townsville,"Cairns , Townsville","Cairns , Townsville",-18.062813,146.236578
Cyclone - Innisfail,Cairns,Cairns,-16.83788,145.750834
Cyclone - Mackay,Mackay,Mackay,-21.462678,148.646708
Cyclone - Balla Balla,Port Hedland,Port Hedland,-20.304791,118.527996
"Cyclone - Broome, Lacepede Islands","Broome, Lacepede Islands","Broome, Lacepede Islands",-17.953496,122.234252
Cyclone Broome,Broome,Broome,-17.959023,122.258848
Cyclone - Cooktown,Cooktown,Cooktown,-15.326993,145.196941
Cyclone Leonta,Townsville,Townsville,-19.334295,146.640943
Earthquake - Japan,"Antarctica , Christmas and Cocos Islands , Lord Howe and Norfolk Islands , Outside Territorial Waters , Territorial Waters","Antarctica , Christmas and Cocos Islands , Lord Howe and Norfolk Islands , Outside Territorial Waters , Territorial Waters",-19.04362,107.304821
Earthquake - Christchurch - New Zealand,Outside Territorial Waters,Outside Territorial Waters,-24.826589,109.869075
Earthquake - Sumatra,Outside Territorial Waters,Outside Territorial Waters,-24.882318,109.556772
"Earthquake â€“ Hunter Valley, Ellalong and Cessnock",Sydney,Sydney,-33.910552,151.170184
Earthquake - Newcastle,Sydney,Sydney,-34.045295,151.340747
Earthquake - Meckering and Region,Merredin,Merredin,-31.473953,118.286546
Earthquake - Victoria,Alpine National Park,Alpine National Park,-37.181546,146.574507
Environment - Drought,New South Wales,New South Wales,-31.254021,146.902051
Environment - Central Wheatbelt Western Australia,Merredin,Merredin,-31.165484,118.756969
Health- South Eastern Australia Heatwave,"Cooma (VIC) , Mount Gambier (VIC) , Murray Bridge (VIC) , Swan Hill (VIC) , Warrnambool (VIC) , Adelaide , Ceduna , Coober Pedy , Cook , Danggali (SA) , Lake Blanche , Lake Eyre , Lake Maurice , Leigh Creek , Marla , Mount Gambier (SA) , Murray Bridge (SA) , Musgrave ranges , Oodnadatta , Tarcoola , Warburton Creek , Warrnambool (SA) , Whyalla , Woomera , Melbourne","Cooma (VIC) , Mount Gambier (VIC) , Murray Bridge (VIC) , Swan Hill (VIC) , Warrnambool (VIC) , Adelaide , Ceduna , Coober Pedy , Cook , Danggali (SA) , Lake Blanche , Lake Eyre , Lake Maurice , Leigh Creek , Marla , Mount Gambier (SA) , Murray Bridge (SA) , Musgrave ranges , Oodnadatta , Tarcoola , Warburton Creek , Warrnambool (SA) , Whyalla , Woomera , Melbourne",-34.549117,140.133309
Health - South East Queensland Heatwave,Brisbane,Brisbane,-27.602606,152.917338
Health - Townsville Heatwave,Townsville,Townsville,-19.481678,146.799125
Health - National Heatwave,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne","Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",-32.296808,141.183573
Health -  Oodnadatta Heatwave,Oodnadatta,Oodnadatta,-27.542358,135.425716
Health - National Heatwave,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne","Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",-32.296808,141.183573
Health - National Heatwave,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne","Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",-32.296808,141.183573
Health- South Eastern Australia Heatwave,"Sydney , Adelaide , Ceduna , Melbourne","Sydney , Adelaide , Ceduna , Melbourne",-34.68188,142.117097
Health - Melbourne and Northern Victoria Legionnaires' Disease Outbreak,Melbourne,Melbourne,-37.782992,144.940286
Health - Food Poisoning Outbreak,Adelaide,Adelaide,-35.031171,138.518539
Health- Spanish Flu,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne","Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",-32.058833,141.20249
Health - Bubonic Plague Sydney,"Brisbane , Sydney , Adelaide , Bunbury , Perth , Melbourne","Brisbane , Sydney , Adelaide , Bunbury , Perth , Melbourne",-33.207119,136.525896
Health - Heatwave,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne","Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",-32.175656,141.506471
Health - South-Eastern Australia Heatwave,National,National,-25.274346,133.780704
Health - National Heatwave,National,National,-25.489008,133.600246
Health - National Heatwave,National,National,-25.489008,133.600246
Health - Heatwave,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne","Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",-32.175656,141.506471
