Event,Zone,Region,latitude,longitude
Transport - Mt Tamborine Bus Crash,Brisbane,Brisbane,-27.470379,153.028536
Transport - Mt Emerald Jet Aircraft Crash,Cairns,Cairns,-16.691813,145.73858
Transport - Brooklyn NSW Train Collision,Sydney,Sydney,-33.954113,151.588162
Transport - Clybucca Flat (near Kempsey) Bus Collision,Tamworth,Tamworth,-31.142389,151.127291
Transport - Cowper (near Grafton) Bus and Semi Trailer Collision,Lismore (NSW),Lismore (NSW),-29.2016,153.645514
Transport - Hot Air Balloon Crash,Alice Springs,Alice Springs,-23.885955,133.549383
Transport - Leonora Light Aircraft Crash,Leonora,Leonora,-29.014201,121.042895
Transport - Bundaberg Air Ambulance Crash,Bundaberg,Bundaberg,-24.955092,152.215309
Transport - Gordonvale/Cairns Bus Crash,Cairns,Cairns,-16.834612,146.106209
Transport - Essendon Air ambulance Crash,Melbourne,Melbourne,-37.814783,144.957137
"Transport - Light Aircraft Crash, Victoria",Gisbourne,Gisbourne,-37.486707,144.581951
Transport - Koolan Island Light Aircraft Crash,Derby,Derby,-17.413208,123.781414
Transport - Goulburn Light Aircraft Crash,Wollongong,Wollongong,-34.84136,150.786134
Transport - El Alamein Helicopter Crash,Whyalla,Whyalla,-33.006678,137.457678
"Transport - Essendon Melbourne, Light Aircraft Crash",Melbourne,Melbourne,-38.052313,144.845421
Transport - Granville Rail Disaster,Sydney,Sydney,-33.809646,150.913079
Transport - Parafield Light Aircraft Collision,Adelaide,Adelaide,-34.928982,138.598975
Transport - Bankstown Light Aircraft Collision,Sydney,Sydney,-33.843705,151.22198
"Transport - Tumut Ponds Bus crash, NSW 1973",Tumut Ponds,Tumut Ponds,-35.864234,148.060386
Transport - Golden Grove Light Aircraft Crash,Adelaide,Adelaide,-34.726765,138.786438
Transport - Leigh Creek Light Aircraft Crash,Leigh Creek,Leigh Creek,-30.581445,138.436114
Wasleys train and bus crash,Wasleys,Wasleys,-34.76574,139.11852
Transport - Parafield Region Light Aircraft Crash,Adelaide,Adelaide,-34.938844,138.529944
"Violet Town train collision, 1969",Violet Town,Violet Town,-36.570148,146.123964
Transport - Southern Aurora,Melbourne,Melbourne,-37.789311,144.493555
Transport - Port Hedland Aircraft Crash,Port Hedland,Port Hedland,-20.310418,118.605965
Transport - Winton Aircraft Accident,Winton,Winton,-22.378293,143.030557
Transport - Sydney Airliner Crash,Sydney,Sydney,-33.799949,150.634264
Transport - Bogantungan Railway Accident,Clermont,Clermont,-22.853784,147.008268
Transport - Wallumbilla Rail Collision,Roma,Roma,-26.261137,148.417788
Transport - Sydenham (Sydney) Train Collision,Sydney,Sydney,-33.743306,151.163649
Transport - Boronia Bus and Train Collision,Melbourne,Melbourne,-37.814011,144.963512
Transport - Berala Rail Collision,Sydney,Sydney,-33.872157,151.212259
Transport - Horsham Train and Bus Collision,Mount Gambier (VIC),Mount Gambier (VIC),-37.727124,140.792311
Transport - York Aircraft Crash,Perth,Perth,-32.097281,116.470896
Transport - Perth Aircraft Crash,Perth,Perth,-32.001221,115.842667
Transport - Spit Bridge Bus Crash,Sydney,Sydney,-33.866128,151.208993
Transport - Coolangatta Aircraft Crash,Lismore (QLD),Lismore (QLD),-29.360549,153.422696
Transport - Rocky Ponds Train Derailment,Canberra (NSW),Canberra (NSW),-35.075848,148.937836
Transport - Tamaree Train Crash,Bundaberg,Bundaberg,-24.883361,152.248033
Transport - Camp Mountain (Dayboro) Train Derailment,Brisbane,Brisbane,-27.499332,152.709281
"Transport - Aircraft crash, Seven Mile Beach, 1946",Seven Mile Beach,Seven Mile Beach,-42.687583,146.742472
Transport - Copley Rail Collision,Leigh Creek,Leigh Creek,-30.575276,138.424846
Transport - Brooklyn Train and Bus Collision,Sydney,Sydney,-34.229554,151.34719
Transport - Wodonga Train and Bus Collision,Cooma (VIC),Cooma (VIC),-36.17456,149.115063
Transport - Dandenongs Aircraft Crash,Melbourne,Melbourne,-37.665931,145.564235
Transport - Capsized Ferry Rodney,Sydney,Sydney,-33.821015,151.347027
"Transport - Southern Cloud Crash, NSW 1931",Tumbarumba,Tumbarumba,-35.775153,148.014993
Transport - Sydney Harbour Ferry Collision,Sydney,Sydney,-33.942723,150.916956
Transport - Murulla Train Accident,Tamworth,Tamworth,-31.178686,150.931291
Transport - Aberdeen Bridge Collapse,Sydney,Sydney,-34.195886,151.004664
Transport - Traveston Train Derailment,Brisbane,Brisbane,-27.514502,153.023676
Transport - Wokalup Train Crash,Bunbury,Bunbury,-32.943112,115.430709
Transport - Hurstville Rail Accident,Sydney,Sydney,-33.759778,150.716317
Transport - Exeter Train Collision,Wollongong,Wollongong,-34.459983,150.744754
"Transport – Toowoomba Train Collision, Queensland 1913",Brisbane,Brisbane,-26.968593,152.734765
Transport - Richmond Rail Collision,Melbourne,Melbourne,-37.829325,144.945819
Transport - Beaufort Train Derailment,Melbourne,Melbourne,-37.845263,144.944391
Transport - Sunshine Rail Collision,Melbourne,Melbourne,-37.800825,144.988738
Transport - Sydenham Train Derailment,Sydney,Sydney,-33.719307,151.130966
"Tsunami - Samoa, American Samoa and Tonga",Outside Territorial Waters,Outside Territorial Waters,-24.959939,109.792252
Tsunami - Indian Ocean,Outside Territorial Waters,Outside Territorial Waters,-25.183922,110.137921
Urban Fire - Quakers Hill Nursing Home,Sydney,Sydney,-33.867854,151.206455
Urban Fire - Slacks Creek House Fire,Brisbane,Brisbane,-27.419874,153.001288
Urban Fire - Melbourne Warehouse,Melbourne,Melbourne,-37.868788,145.36618
"Urban Fire - Mitcham Shopping Centre, Adelaide",Adelaide,Adelaide,-35.057597,138.653345
Urban Fire - Brisbane Boarding House,Brisbane,Brisbane,-27.323964,153.575184
Urban Fire - Childers Backpacker,Bundaberg,Bundaberg,-24.87114,152.346873
Urban Fire - Kew Cottages,Melbourne,Melbourne,-37.592818,144.79679
Urban Fire - Dungog Hostel Fire,Sydney,Sydney,-33.737277,150.633319
Urban Fire - Noble Park Melbourne,Melbourne,Melbourne,-38.099543,145.079387
Urban Fire - Oakdale Guesthouse Ipswich,Brisbane,Brisbane,-27.585402,152.397676
"Urban Fire – Kings Cross, New South Wales 1989",Sydney,Sydney,-34.001538,150.995283
Urban Fire - Kings Cross,Sydney,Sydney,-33.886665,151.34492
Urban Fire - Sydney Luna Park,Sydney,Sydney,-34.118533,150.80861
Urban Fire - Melbourne Hostel,Melbourne,Melbourne,-37.813673,144.96226
Urban Fire - Somers Hospital Fire,Wilsons Promontory,Wilsons Promontory,-39.030003,146.323593
Urban Fire - Adelaide Café fire,Adelaide,Adelaide,-35.400947,139.004181
