Event,Category,State,Fatalities,Insured Cost,Start Date,End Date,URL
Bushfire - Sydney and Southern New South Wales,Bushfire,"Cooma (NSW) , Sydney , Wollongong",6.0,,1939-01-13 00:00:00,1939-01-14 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-sydney-and-southern-new-south-wales-1939/
Bushfire - Black Friday ,Bushfire,"Wollongong , Canberra (ACT) , Mount Gambier (VIC) , Murray Bridge (VIC) , Wilsons Promontory , Mount Gambier (SA) , Launceston , Melbourne",71.0,,1939-01-13 00:00:00,1939-01-20 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-black-friday-victoria-1939/
Bushfire - Gippsland,Bushfire,Melbourne,9.0,,1932-02-04 00:00:00,1932-02-28 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-gippsland-1932/
Bushfire - Central Western NSW and Southern QLD,Bushfire,"Brisbane , Canberra (NSW) , Dubbo , Lismore (NSW)",8.0,,1926-10-01 00:00:00,1926-12-17 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-central-western-nsw-and-southern-qld/
Bushfire - South East Victoria,Bushfire,Melbourne,60.0,,1926-02-01 00:00:00,1926-03-10 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-south-east-victoria/
Bushfire - Saltern Creek,Bushfire,Longreach,5.0,,1918-09-16 00:00:00,1918-12-30 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-saltern-creek/
Bushfire - Warenda Station Hughenden,Bushfire,Boulia,3.0,,1917-09-29 00:00:00,1917-09-29 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-warenda-station-bushfire-queensland-1917/
Bushfire - Widespread Victoria,Bushfire,"Cooma (VIC) , Mount Gambier (VIC) , Wilsons Promontory , Melbourne",12.0,,1906-01-01 00:00:00,1906-02-15 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-widespread-victoria-1906/ 
"Criminal Act - Bourke Street Mall Incident, 2017",Criminal Act,Melbourne,6.0,,2017-01-20 00:00:00,,https://knowledge.aidr.org.au/resources/criminal-bourke-st-mall-incident/
"Criminal Act - Lindt Cafe siege, 2014",Criminal Act,sydney,3.0,,2014-12-15 00:00:00,2014-12-16 00:00:00,https://knowledge.aidr.org.au/resources/criminal-lindt-cafe-siege/
"Criminal Act - Marriott and Ritz-Carlton hotel bombings, 2009",Criminal Act,Outside Territorial Waters,9.0,,2009-07-17 00:00:00,,https://knowledge.aidr.org.au/resources/criminal-marriott-and-ritz-carlton-hotel-bombings-indonesia-2009/
